service,s,d,studage,lectage,dept,y,t,k,m
1,110,65,6,6,2,1,3.5,390,21
1,110,150,6,6,8,4,14,900,84
1,110,350,6,6,8,4,14,2100,84
1,151,1904,6,3,1,4,14,11424,42
1,151,1920,6,6,10,3,10.5,11520,63
1,151,2053,6,5,6,3,10.5,12318,52.5
1,151,2084,6,6,10,3,10.5,12504,63
1,152,67,6,6,4,3,10.5,402,63
1,152,150,6,3,8,1,3.5,900,10.5
1,152,603,6,4,8,2,7,3618,28
1,152,627,6,5,8,4,14,3762,70
1,152,673,6,6,12,3,10.5,4038,63
1,152,973,6,6,4,4,14,5838,84
1,152,1056,6,3,8,5,17.5,6336,52.5
1,152,1314,6,6,12,5,17.5,7884,105
1,152,1323,6,6,2,3,10.5,7938,63
1,152,1382,6,4,3,5,17.5,8292,70
1,152,1396,6,3,1,4,14,8376,42
1,152,1718,6,2,8,4,14,10308,28
1,152,1736,6,6,12,4,14,10416,84
1,152,2006,6,6,12,3,10.5,12036,63
1,152,2026,6,6,8,4,14,12156,84
1,152,2055,6,6,12,3,10.5,12330,63
1,153,474,4,6,1,3,10.5,1896,63
1,153,550,4,6,8,3,10.5,2200,63
1,153,781,4,6,4,4,14,3124,84
1,153,806,4,6,4,3,10.5,3224,63
1,153,1382,4,5,3,2,7,5528,35
1,153,1819,4,6,1,4,14,7276,84
1,153,1992,4,5,12,2,7,7968,35
1,153,2149,4,6,12,5,17.5,8596,105
1,154,19,6,5,15,4,14,114,70
1,154,150,6,6,8,1,3.5,900,21
1,154,296,6,6,11,2,7,1776,42
1,154,307,6,6,2,3,10.5,1842,63
1,154,526,6,6,7,5,17.5,3156,105
1,154,554,6,6,6,4,14,3324,84
1,154,603,6,6,8,3,10.5,3618,63
1,154,672,6,2,1,3,10.5,4032,21
1,154,693,6,6,2,1,3.5,4158,21
1,154,732,6,5,8,5,17.5,4392,87.5
1,154,827,6,6,12,3,10.5,4962,63
1,154,900,6,6,7,3,10.5,5400,63
1,154,964,6,5,8,5,17.5,5784,87.5
1,154,1126,6,6,8,2,7,6756,42
1,154,1299,6,1,10,5,17.5,7794,17.5
1,154,1513,6,6,12,4,14,9078,84
1,154,1596,6,2,10,3,10.5,9576,21
1,154,1749,6,1,10,2,7,10494,7
1,154,1852,6,1,7,5,17.5,11112,17.5
1,154,1880,6,6,6,1,3.5,11280,21
1,154,1910,6,6,2,4,14,11460,84
1,154,1952,6,6,8,5,17.5,11712,105
1,154,2026,6,5,8,2,7,12156,35
1,154,2084,6,2,10,4,14,12504,28
1,154,2153,6,5,7,3,10.5,12918,52.5
1,155,12,8,5,14,3,10.5,96,52.5
1,155,102,8,6,1,3,10.5,816,63
1,155,182,8,6,14,5,17.5,1456,105
1,155,438,8,6,1,3,10.5,3504,63
1,155,440,8,3,12,3,10.5,3520,31.5
1,155,475,8,6,11,3,10.5,3800,63
1,155,613,8,6,8,4,14,4904,84
1,155,655,8,2,12,3,10.5,5240,21
1,155,692,8,3,12,5,17.5,5536,52.5
1,155,849,8,6,2,4,14,6792,84
1,155,964,8,6,8,4,14,7712,84
1,155,987,8,3,12,2,7,7896,21
1,155,989,8,5,14,2,7,7912,35
1,155,1161,8,6,11,2,7,9288,42
1,155,1255,8,3,12,5,17.5,10040,52.5
1,155,1718,8,2,8,3,10.5,13744,21
1,155,1756,8,5,11,4,14,14048,70
1,155,1774,8,2,12,3,10.5,14192,21
1,155,1817,8,6,11,3,10.5,14536,63
1,155,1884,8,6,11,4,14,15072,84
1,155,2002,8,5,8,2,7,16016,35
1,157,474,6,6,1,5,17.5,2844,105
1,157,613,6,3,8,2,7,3678,21
1,157,621,6,6,2,4,14,3726,84
1,157,944,6,6,11,3,10.5,5664,63
1,157,964,6,3,8,3,10.5,5784,31.5
1,157,1523,6,4,1,4,14,9138,56
1,157,1582,6,4,2,4,14,9492,56
1,157,1709,6,6,11,5,17.5,10254,105
1,157,1942,6,4,1,5,17.5,11652,70
1,157,2147,6,6,14,1,3.5,12882,21
1,158,150,6,3,8,1,3.5,900,10.5
1,158,1274,6,6,8,5,17.5,7644,105
1,159,27,8,6,6,1,3.5,216,21
1,159,150,8,6,8,5,17.5,1200,105
1,159,296,8,6,11,3,10.5,2368,63
1,159,307,8,6,2,3,10.5,2456,63
1,159,352,8,6,15,3,10.5,2816,63
1,159,365,8,6,10,3,10.5,2920,63
1,159,554,8,6,6,4,14,4432,84
1,159,603,8,3,8,4,14,4824,42
1,159,613,8,4,8,1,3.5,4904,14
1,159,651,8,6,7,4,14,5208,84
1,159,655,8,6,12,5,17.5,5240,105
1,159,693,8,6,2,1,3.5,5544,21
1,159,827,8,4,12,1,3.5,6616,14
1,159,888,8,5,15,5,17.5,7104,87.5
1,159,900,8,6,7,4,14,7200,84
1,159,979,8,5,10,4,14,7832,70
1,159,1040,8,5,15,2,7,8320,35
1,159,1126,8,6,8,4,14,9008,84
1,159,1164,8,3,12,5,17.5,9312,52.5
1,159,1491,8,6,10,5,17.5,11928,105
1,159,1513,8,3,12,4,14,12104,42
1,159,1537,8,3,12,5,17.5,12296,52.5
1,159,1736,8,6,12,3,10.5,13888,63
1,159,1755,8,6,11,4,14,14040,84
1,159,1774,8,6,12,5,17.5,14192,105
1,159,1880,8,6,6,3,10.5,15040,63
1,159,1904,8,5,1,4,14,15232,70
1,159,1920,8,6,10,4,14,15360,84
1,159,1984,8,5,10,2,7,15872,35
1,159,2084,8,6,10,3,10.5,16672,63
1,160,67,6,3,4,5,17.5,402,52.5
1,160,137,6,2,4,4,14,822,28
1,160,401,6,2,4,5,17.5,2406,35
1,160,454,6,5,6,3,10.5,2724,52.5
1,160,572,6,2,4,4,14,3432,28
1,160,613,6,3,8,2,7,3678,21
1,160,828,6,2,4,3,10.5,4968,21
1,160,883,6,3,4,5,17.5,5298,52.5
1,160,888,6,3,15,5,17.5,5328,52.5
1,160,897,6,2,15,4,14,5382,28
1,160,945,6,3,4,5,17.5,5670,52.5
1,160,964,6,3,8,1,3.5,5784,10.5
1,160,972,6,6,4,4,14,5832,84
1,160,973,6,3,4,2,7,5838,21
1,160,1281,6,6,6,2,7,7686,42
1,160,1284,6,4,4,4,14,7704,56
1,160,1495,6,2,15,5,17.5,8970,35
1,160,1536,6,6,11,1,3.5,9216,21
1,160,1607,6,2,4,5,17.5,9642,35
1,160,1629,6,6,6,4,14,9774,84
1,160,1701,6,5,2,5,17.5,10206,87.5
1,160,2009,6,3,15,4,14,12054,42
1,160,2053,6,6,6,4,14,12318,84
1,160,2099,6,4,4,5,17.5,12594,70
1,161,401,8,4,4,5,17.5,3208,70
1,161,778,8,3,4,5,17.5,6224,52.5
1,161,883,8,3,4,3,10.5,7064,31.5
1,161,888,8,3,15,5,17.5,7104,52.5
1,161,897,8,2,15,3,10.5,7176,21
1,161,945,8,3,4,4,14,7560,42
1,161,1379,8,4,4,3,10.5,11032,42
1,161,1495,8,2,15,5,17.5,11960,35
1,161,2009,8,3,15,2,7,16072,21
1,161,2099,8,4,4,5,17.5,16792,70
1,162,66,6,6,11,5,17.5,396,105
1,162,314,6,6,11,5,17.5,1884,105
1,162,366,6,5,11,5,17.5,2196,87.5
1,162,613,6,6,8,1,3.5,3678,21
1,162,964,6,6,8,5,17.5,5784,105
1,162,1504,6,6,11,3,10.5,9024,63
1,163,314,6,6,11,5,17.5,1884,105
1,163,366,6,3,11,2,7,2196,21
1,163,736,6,6,8,2,7,4416,42
1,163,946,6,6,8,4,14,5676,84
1,163,1019,6,3,8,5,17.5,6114,52.5
1,163,1504,6,6,11,3,10.5,9024,63
